timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1697526000,Oct 17 2023 - 7:00am,complete,N/A,Mongolia,Afghanistan,Hassan Akrami,N/A,0.00,3.00,0.00,1.38,0,1,1,0,0,0,"","71",4,6,1,0,1,0,0,1,1,0,10,14,4,1,6,13,8,7,50,50,0.66,1.59,1.35,1.52,1.00,0,0,0,0,0,0,0,0,100,9.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1697533200,Oct 17 2023 - 9:00am,complete,N/A,Pakistan,Cambodia,Feras Taweel,N/A,1.00,1.00,0.50,0.50,1,0,1,0,0,0,"68","",5,3,3,0,2,0,2,1,0,2,4,9,1,1,3,8,10,12,50,50,0.53,1.18,0.59,1.09,0.00,0,0,0,0,0,0,0,0,0,6.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1697535000,Oct 17 2023 - 9:30am,complete,N/A,Sri Lanka,Yemen,Clifford Postanes Daypuyat,N/A,0.00,3.00,0.50,1.13,1,1,2,1,0,1,"89","4",6,4,3,0,2,0,0,3,0,2,6,14,1,6,5,8,-1,-1,50,50,1.10,1.28,0.72,1.58,3.00,0,100,100,0,0,0,100,100,100,6.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1697540400,Oct 17 2023 - 11:00am,complete,N/A,Timor-Leste,Taiwan,Tejas Nagvenkar,N/A,0.00,3.00,0.00,0.75,0,3,3,3,0,3,"","17,19,23",-1,-1,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.56,1.40,0.00,0.00,4.00,0,100,100,100,0,0,100,100,100,7.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kaohsiung National Stadium
1697542200,Oct 17 2023 - 11:30am,complete,N/A,Macau,Myanmar,Al Majarafi Mahmood Salim Said,N/A,0.00,3.00,0.50,0.63,0,0,0,0,0,0,"","",2,6,1,0,2,0,0,1,1,1,7,9,2,1,5,8,-1,-1,50,50,0.00,0.00,0.69,0.87,6.00,100,100,100,100,100,0,100,100,100,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1697543100,Oct 17 2023 - 11:45am,complete,N/A,Bangladesh,Maldives,Ammar Ebrahim Hasan Mahfoodh,N/A,1.00,1.00,0.63,0.50,2,1,3,2,1,1,"11,46","36",3,11,4,1,1,1,2,3,0,2,13,13,4,5,9,8,-1,-1,50,50,1.84,1.40,1.34,1.42,2.00,100,100,0,0,0,0,0,100,100,10.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1697544000,Oct 17 2023 - 12:00pm,complete,N/A,Bhutan,Hong Kong,Thoriq M Alkatiri,N/A,0.00,3.00,1.50,0.63,2,0,2,1,1,0,"28,47","",5,10,0,0,3,0,0,0,1,2,11,16,4,5,7,11,5,7,50,50,0.73,3.16,1.72,2.07,4.00,0,100,100,100,0,100,100,0,0,6.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Changlimithang National Stadium
1697544000,Oct 17 2023 - 12:00pm,complete,N/A,Laos,Nepal,Ali Reda,N/A,1.00,1.00,0.50,0.63,0,1,1,0,0,0,"","53",2,1,3,0,2,0,1,2,1,1,7,13,4,2,3,11,18,21,50,50,0.96,1.32,1.05,1.32,2.00,100,100,0,0,0,0,100,0,100,10.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1697544900,Oct 17 2023 - 12:15pm,complete,N/A,Brunei,Indonesia,Ahmed Faisal Mohammad Al Ali,N/A,0.00,3.00,0.00,1.40,0,6,6,3,0,3,"","6,42,44,47,63,82",4,9,3,0,1,0,1,2,1,0,8,20,1,11,7,9,6,10,50,50,0.12,1.82,0.82,2.66,6.00,0,100,100,100,100,100,100,100,100,11.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadium Sultan Hassanal Bolkiah
1700125800,Nov 16 2023 - 9:10am,complete,N/A,Australia,Bangladesh,Axrol Riskullaev,2,0.00,2.00,2.31,0.63,7,0,7,4,4,0,"4,20,37,40,49,70,84","",-1,-1,1,0,3,0,0,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,1.59,0.00,0.00,1.25,50,50,25,0,0,25,25,25,50,3.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
