Partido_ID,Local,Visitante,Goles_Local,Goles_Visitante,Local_GF_Prom,Local_GC_Prom,Visita_GF_Prom,Visita_GC_Prom,Target_Ganador
72,Fulham,Aston Villa,1,3,1.6923076923076923,1.2307692307692308,1.4666666666666666,0.8666666666666667,2
73,Ipswich Town,Everton,0,2,1.0769230769230769,2.1538461538461537,1.0,1.4615384615384615,2
74,Man United,Brentford,2,1,0.38461538461538464,1.0769230769230769,2.076923076923077,2.076923076923077,1
75,Newcastle,Brighton,0,1,0.9230769230769231,1.1538461538461537,2.076923076923077,2.0,2
76,Southampton,Leicester City,2,3,0.7692307692307693,2.230769230769231,1.3076923076923077,1.6923076923076923,2
77,AFC Bournemouth,Arsenal,2,0,1.0769230769230769,1.5384615384615385,2.3333333333333335,0.8,1
78,Wolves,Man City,1,2,1.4615384615384615,3.1538461538461537,2.230769230769231,1.3846153846153846,2
79,Liverpool,Chelsea,2,1,1.8666666666666667,0.3333333333333333,2.4615384615384617,1.0769230769230769,1
80,Nott'm Forest,Crystal Palace,1,0,1.0,1.0769230769230769,0.5384615384615384,1.2307692307692308,1
81,Leicester City,Nott'm Forest,1,3,1.7142857142857142,1.8571428571428572,0.8571428571428571,0.7142857142857143,2
82,Aston Villa,AFC Bournemouth,1,1,1.8125,0.6875,1.4285714285714286,1.0,0
83,Brentford,Ipswich Town,4,3,2.0,1.9285714285714286,0.8571428571428571,2.2857142857142856,1
84,Brighton,Wolves,2,2,1.8571428571428572,1.5714285714285714,1.4285714285714286,2.9285714285714284,0
85,Man City,Southampton,1,0,2.2142857142857144,1.2142857142857142,1.0,2.5714285714285716,1
86,Everton,Fulham,1,1,1.2142857142857142,1.2142857142857142,1.3571428571428572,1.6428571428571428,0
87,Chelsea,Newcastle,2,1,2.0714285714285716,1.4285714285714286,0.7142857142857143,0.8571428571428571,1
88,Crystal Palace,Tottenham,1,0,0.5,1.3571428571428572,2.5714285714285716,1.2142857142857142,1
89,West Ham,Man United,2,1,1.6428571428571428,1.9285714285714286,0.7857142857142857,1.2142857142857142,1
90,Arsenal,Liverpool,2,2,1.5,0.875,1.6875,0.375,0
91,Newcastle,Arsenal,1,0,0.7333333333333333,1.0666666666666667,1.375,1.125,1
92,AFC Bournemouth,Man City,2,1,1.1333333333333333,1.0,2.1333333333333333,1.0,1
93,Ipswich Town,Leicester City,1,1,1.1333333333333333,2.6666666666666665,1.5333333333333334,1.8,0
94,Liverpool,Brighton,2,1,1.8125,0.75,1.8666666666666667,1.3333333333333333,1
95,Nott'm Forest,West Ham,3,0,1.4,0.7333333333333333,1.8,1.8666666666666667,1
96,Southampton,Everton,1,0,0.8,2.2,1.0666666666666667,1.2,1
97,Wolves,Crystal Palace,2,2,1.6,2.8666666666666667,0.5333333333333333,1.0,0
98,Tottenham,Aston Villa,4,1,2.0,1.3333333333333333,2.0,0.75,1
99,Man United,Chelsea,1,1,0.9333333333333333,1.1333333333333333,1.8,1.2666666666666666,0
100,Fulham,Brentford,2,1,1.3333333333333333,1.7333333333333334,2.533333333333333,2.2666666666666666,1
101,Brentford,AFC Bournemouth,3,2,1.9375,2.125,1.4375,1.0,1
102,Crystal Palace,Fulham,0,2,0.875,1.1875,1.375,1.4375,2
103,West Ham,Everton,0,0,1.1875,2.1875,1.0,1.3125,0
104,Wolves,Southampton,2,0,1.5,2.4375,0.8125,1.6875,1
105,Brighton,Man City,2,1,1.5625,1.375,1.8125,1.0625,1
106,Liverpool,Aston Villa,2,0,2.375,0.75,1.25,1.375,1
107,Man United,Leicester City,3,0,1.0625,1.25,1.5,1.875,1
108,Nott'm Forest,Newcastle,1,3,1.75,0.5625,0.875,1.0,2
109,Tottenham,Ipswich Town,1,2,2.375,1.0625,1.125,2.1875,2
110,Chelsea,Arsenal,1,1,1.75,1.25,1.125,1.1875,0
111,Leicester City,Chelsea,1,2,1.0625,2.125,1.8125,1.0625,2
112,AFC Bournemouth,Brighton,1,2,1.5,1.5,1.625,1.5625,2
113,Arsenal,Nott'm Forest,3,0,1.0625,1.125,1.75,1.0625,1
114,Aston Villa,Crystal Palace,2,2,0.9375,1.625,0.8125,1.3125,0
115,Everton,Brentford,0,0,0.75,1.125,2.25,2.1875,0
116,Fulham,Wolves,1,4,1.625,1.0,1.75,2.0625,2
117,Man City,Tottenham,0,4,1.625,1.3125,2.0,1.25,2
118,Southampton,Liverpool,2,3,0.5625,1.625,2.3125,0.4375,2
119,Ipswich Town,Man United,1,1,1.5,2.0,1.3125,1.125,0
120,Newcastle,West Ham,0,2,1.375,1.0625,1.0,1.5625,2
121,Brighton,Southampton,1,1,1.625,1.4375,0.9375,2.0,0
122,Brentford,Leicester City,4,1,1.75,1.6875,1.0625,2.0,1
123,Crystal Palace,Newcastle,1,1,1.0625,1.5625,1.1875,1.125,0
124,Nott'm Forest,Ipswich Town,1,0,1.3125,1.5,1.25,1.4375,1
125,Wolves,AFC Bournemouth,2,4,2.125,1.625,1.5,1.6875,2
126,West Ham,Arsenal,2,5,1.0,1.4375,2.1875,0.8125,2
127,Chelsea,Aston Villa,3,0,1.5625,1.0,0.875,1.1875,1
128,Man United,Everton,4,0,1.3125,0.9375,0.625,0.75,1
129,Tottenham,Fulham,1,1,2.5,1.125,1.5625,1.5625,0
130,Liverpool,Man City,2,0,2.1875,0.625,1.25,2.0,1
131,Ipswich Town,Crystal Palace,0,1,1.0625,1.4375,0.9375,1.4375,2
132,Leicester City,West Ham,3,1,1.0625,2.5,1.3125,1.8125,1
133,Everton,Wolves,4,0,0.5,1.1875,2.1875,2.0625,1
134,Man City,Nott'm Forest,3,0,0.9375,2.0625,1.0625,1.4375,1
135,Newcastle,Liverpool,3,3,1.125,1.25,2.1875,0.625,0
136,Southampton,Chelsea,1,5,0.9375,2.0,1.9375,0.8125,2
137,Arsenal,Man United,2,0,2.875,1.0625,1.9375,0.625,1
138,Aston Villa,Brentford,3,1,0.8125,1.5,2.1875,1.5625,1
139,Fulham,Brighton,3,1,1.4375,1.5625,1.625,1.3125,1
140,AFC Bournemouth,Tottenham,1,0,1.8125,1.8125,2.125,1.0625,1
141,Aston Villa,Southampton,1,0,1.125,1.4375,1.125,2.5,1
142,Brentford,Newcastle,4,2,1.9375,1.75,1.1875,1.625,1
143,Crystal Palace,Man City,2,2,1.0,1.0625,1.25,1.75,0
144,Man United,Nott'm Forest,2,3,1.375,1.0,0.875,1.625,2
145,Fulham,Arsenal,1,1,1.6875,1.6875,2.6875,1.0,0
146,Ipswich Town,AFC Bournemouth,1,2,0.8125,1.5,1.75,1.375,2
147,Leicester City,Brighton,2,2,1.5,2.1875,1.5625,1.75,0
148,Tottenham,Chelsea,3,4,2.0,0.9375,2.6875,0.875,2
149,West Ham,Wolves,2,1,1.4375,2.3125,1.875,2.6875,1
150,Arsenal,Everton,0,0,2.125,0.6875,1.125,1.0,0
151,Liverpool,Fulham,2,2,2.125,0.875,1.5625,1.3125,0
152,Newcastle,Leicester City,4,0,1.5,1.9375,1.6875,2.25,1
153,Wolves,Ipswich Town,1,2,1.5,2.75,0.8125,1.6875,2
154,Nott'm Forest,Aston Villa,2,1,1.3125,1.5,1.5625,1.375,1
155,Brighton,Crystal Palace,1,3,1.5625,1.875,1.125,1.1875,2
156,Man City,Man United,1,2,1.5,1.5,1.625,1.4375,2
157,Chelsea,Brentford,2,1,3.0,1.3125,2.625,1.9375,1
158,Southampton,Tottenham,0,5,0.8125,2.25,1.875,1.625,2
159,AFC Bournemouth,West Ham,1,1,2.0,1.125,1.5625,2.3125,0
160,Aston Villa,Man City,2,1,1.3125,1.5625,1.625,1.5625,1
161,Brentford,Nott'm Forest,0,2,2.25,2.125,1.5625,1.625,2
162,Ipswich Town,Newcastle,0,4,1.0625,1.625,2.0625,1.75,2
163,West Ham,Brighton,1,1,1.4375,1.8125,1.5,2.0625,0
164,Crystal Palace,Arsenal,1,5,1.5,1.125,1.75,0.5625,2
165,Everton,Chelsea,0,0,1.0625,0.9375,2.75,1.375,0
166,Fulham,Southampton,0,0,1.75,1.5625,0.625,2.875,0
167,Leicester City,Wolves,0,3,1.4375,2.25,1.375,2.5,2
168,Man United,AFC Bournemouth,0,3,1.5,1.4375,1.5,1.0,2
169,Tottenham,Liverpool,3,6,2.5,1.5,2.1875,1.25,2
170,Man City,Everton,1,1,1.25,1.8125,0.9375,0.375,0
171,AFC Bournemouth,Crystal Palace,0,0,1.9375,0.9375,1.5625,2.0,0
172,Chelsea,Fulham,1,2,2.0625,1.1875,1.25,1.25,2
173,Newcastle,Aston Villa,3,0,2.4375,1.375,1.5,1.5,1
174,Nott'm Forest,Tottenham,1,0,1.875,1.1875,2.9375,2.3125,1
175,Southampton,West Ham,0,1,0.4375,2.0625,1.25,1.5625,2
176,Wolves,Man United,2,0,1.75,1.6875,1.5,1.75,1
177,Liverpool,Leicester City,3,1,2.8125,1.3125,1.0,2.6875,1
178,Brighton,Brentford,0,0,1.375,1.75,1.8125,1.9375,0
179,Arsenal,Ipswich Town,1,0,2.5625,0.5625,1.0,2.0,1
180,Leicester City,Man City,0,2,0.75,2.875,1.0625,1.6875,2
181,Crystal Palace,Southampton,2,1,1.3125,1.6875,0.3125,1.9375,1
182,Everton,Nott'm Forest,0,2,0.625,0.5625,1.625,0.9375,2
183,Fulham,AFC Bournemouth,2,2,1.4375,1.125,1.5625,0.8125,0
184,Tottenham,Wolves,2,2,2.3125,1.9375,1.9375,1.3125,0
185,West Ham,Liverpool,0,5,1.125,1.1875,3.125,1.4375,2
186,Aston Villa,Brighton,2,2,1.125,1.75,1.0625,1.5,0
187,Ipswich Town,Chelsea,2,0,0.875,1.8125,1.6875,1.0625,1
188,Man United,Newcastle,0,2,1.125,1.6875,2.75,0.8125,2
189,Brentford,Arsenal,1,3,1.25,1.5625,2.375,0.5,2
190,Tottenham,Newcastle,1,2,2.0625,2.25,2.5625,0.6875,2
191,Southampton,Brentford,0,5,0.5,1.625,1.0625,1.6875,2
192,Crystal Palace,Chelsea,1,1,1.25,1.75,1.3125,1.25,0
193,AFC Bournemouth,Everton,1,0,1.75,1.0,0.5,0.9375,1
194,Aston Villa,Leicester City,2,1,1.375,1.75,0.6875,2.5625,1
195,Man City,West Ham,4,1,1.25,1.4375,0.875,1.9375,1
196,Brighton,Arsenal,1,1,1.1875,1.375,2.875,0.625,0
197,Fulham,Ipswich Town,2,2,1.5,1.1875,0.8125,1.4375,0
198,Liverpool,Man United,2,2,3.5625,1.1875,0.8125,1.8125,0
199,Wolves,Nott'm Forest,0,3,2.0625,1.3125,1.5625,0.75,2
200,West Ham,Fulham,3,2,0.9375,2.375,1.75,1.5,1
201,Brentford,Man City,2,2,1.9375,1.3125,1.8125,1.25,0
202,Chelsea,AFC Bournemouth,2,2,1.4375,1.375,1.4375,0.9375,0
203,Nott'm Forest,Liverpool,1,1,1.6875,0.75,3.0625,1.1875,0
204,Everton,Aston Villa,0,1,0.4375,1.0625,1.375,1.6875,2
205,Leicester City,Crystal Palace,0,2,0.8125,2.5,1.1875,1.1875,2
206,Newcastle,Wolves,3,0,2.375,0.875,1.5625,1.75,1
207,Arsenal,Tottenham,2,1,2.25,0.6875,1.625,1.8125,1
208,Ipswich Town,Brighton,0,2,1.125,1.25,1.1875,1.3125,2
209,Man United,Southampton,3,1,1.125,1.75,0.4375,2.5625,1
210,Newcastle,AFC Bournemouth,1,4,2.375,0.8125,1.6875,1.125,2
211,West Ham,Crystal Palace,0,2,1.375,2.75,1.5625,1.0625,2
212,Leicester City,Fulham,0,2,0.6875,2.3125,1.75,1.9375,2
213,Brentford,Liverpool,0,2,2.125,1.5625,2.6875,1.125,2
214,Arsenal,Aston Villa,2,2,2.1875,0.8125,1.5625,1.3125,0
215,Man United,Brighton,1,3,1.5,1.6875,1.4375,1.25,2
216,Nott'm Forest,Southampton,3,2,1.6875,0.75,0.625,2.875,1
217,Everton,Tottenham,3,2,0.3125,1.0625,1.75,1.9375,1
